,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,2025-05-08,2025-05-09,2025-05-10,2025-05-11,2025-05-12,2025-05-13,2025-05-14,2025-05-15,2025-05-16,2025-05-17,2025-05-18,2025-05-19,2025-05-20,2025-05-21,2025-05-22,2025-05-23,2025-05-24,2025-05-25,2025-05-26,2025-05-27,Market,Değişim,Ürün
Yumurta,189.7,189.7,189.7,189.7,189.7,189.7,166.7,166.7,166.7,166.7,166.7,166.7,166.7,146.0,146.0,146.0,146.0,146.0,146.0,146.0,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,140.25,Mopaş,-26.07,Kumbasar Yumurta XL 20'li
Yumurta,125.25,125.25,125.25,125.25,125.25,,,,,,109.1,109.1,109.1,109.1,94.95,94.95,94.95,94.95,94.95,94.95,94.95,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,97.65,Carrefour,-25.63,Kumbasar Yumurta 15'li 63-72 g No:3
Yumurta,103.45,103.45,103.45,103.45,103.45,103.45,91.95,91.95,91.95,91.95,91.95,91.95,91.95,79.3,79.3,79.3,79.3,79.3,79.3,79.3,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,82.75,77.0,Mopaş,-25.57,Kumbasar Yumurta 10'lu
Yumurta,,,,,,,,,,105.0,105.0,105.0,105.0,105.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,Onur Market,-24.76,Naturaköy Yumurta Selenyum M 15'li
Yumurta,105.0,105.0,105.0,105.0,105.0,105.0,,,99.5,99.5,,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,79.0,Carrefour,-24.76,Carrefour Yumurta 15'li L Boy
Yumurta,,,,,,,,,,129.0,129.0,129.0,129.0,129.0,129.0,149.0,149.0,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Onur Market,-23.26,Sade Gezen Yumurta 15'li
Yumurta,,,,,,,,,,,,,,,,,115.0,115.0,115.0,115.0,115.0,115.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,Tarım Kredi,-22.61,Akyaka Çiftliği Gezen Yumurta ( ml ) 10 Lu tarim_kredi
Yumurta,,,,,,,,,,179.0,179.0,179.0,179.0,179.0,129.0,129.0,129.0,129.0,129.0,179.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,179.0,179.0,179.0,149.9,149.9,149.9,149.9,149.9,139.0,139.0,139.0,139.0,139.0,139.0,139.0,Onur Market,-22.35,Keskinoğlu Yumurta 20'li (L) 63-73 gr
Yumurta,,,,,,,,,,,,,,,,,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,149.0,149.0,149.0,149.0,149.0,149.0,125.0,125.0,125.0,125.0,125.0,125.0,Carrefour,-21.38,Carrefour Yumurta 30 lu M carrefour
Yumurta,,,,,,,,,,,,,,,,,189.0,189.0,189.0,189.0,159.2,159.2,159.2,159.2,189.0,189.0,189.0,149.0,149.0,149.0,129.0,129.0,129.0,129.0,129.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,Carrefour,-21.16,Carrefour Kafessiz Yumurta 30 lu M carrefour
Yumurta,,,,,,,,,,,,,,,,,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,79.0,Carrefour,-20.6,Carrefour Yumurta 15 li lt carrefour
Yumurta,,,,,,,,,,,,,,,,,119.0,119.0,119.0,119.0,119.0,119.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,Tarım Kredi,-20.17,Akyaka Çiftliği Omega Yumurta ( ml ) 10 Lu tarim_kredi
Yumurta,,,,,,,,,,,,,,,,,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,Carrefour,-16.68,Doğalım Yumurta 6 Lı 53 - 62 gr carrefour
Yumurta,137.95,137.95,132.2,132.2,132.2,132.2,132.2,132.2,132.2,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,126.45,114.95,Mopaş,-16.67,Yummy Organik Yumurta 10'lu
Yumurta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.95,114.95,114.95,114.95,95.95,95.95,95.95,95.95,,,,95.95,Carrefour,-16.53,Flotty Baby Organik Yumurta 10 Lu 53 - 62 carrefour
Yumurta,,,,,,,,,,154.0,154.0,154.0,154.0,154.0,129.0,129.0,129.0,,,,,129.0,129.0,129.0,129.0,129.0,,,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,Onur Market,-16.23,Taze Pazar Günlük Tavuk Yumurtası 15'li
Yumurta,,,,,,,,,,,,,,,,,145.0,145.0,145.0,145.0,145.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,122.0,122.0,122.0,122.0,122.0,122.0,Tarım Kredi,-15.86,İzmir Ege Kooperatif 10'lu Organik Yumurta tarim_kredi
Yumurta,,,,,,,,,,,,,,,,,129.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,Tarım Kredi,-15.5,Bahçeci Organik Yumurta M 10 Lu tarim_kredi
Yumurta,,,,,,,,,,,,,,,,,134.95,134.95,134.95,134.95,,,,,,134.95,134.95,134.95,134.95,134.95,134.95,134.95,134.95,134.95,114.95,114.95,114.95,114.95,114.95,114.95,114.95,114.95,Carrefour,-14.82,Flotty Sports Organik Yumurta 10 Lu 53 - carrefour
Yumurta,120.7,120.7,120.7,120.7,120.7,120.7,120.7,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,109.2,103.45,Mopaş,-14.29,Gölyaka Gezen Tavuk Yumurtası 10'lu
Yumurta,,,,,,,,,,,,,,,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,Tarım Kredi,-14.14,Aybar Gezen Yumurta 10'lu tarim_kredi
Yumurta,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,47.95,Migros,-12.74,Keskinoğlu M - Orta Boy Yumurta 6'Lı ( 53 - 62 G )
Yumurta,,,,,,,,,,159.0,159.0,159.0,159.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,119.9,119.9,119.9,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,159.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,Onur Market,-12.58,Onur Bereket Yumurta 30'lu 53-63 gr
Yumurta,104.5,104.5,104.5,104.5,104.5,104.5,104.5,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,,,,99.25,99.25,99.25,92.25,92.25,92.25,92.25,92.25,74.9,74.9,74.9,74.9,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,Migros,-11.72,Keskinoglu 15'li L Büyük Boy  Yumurta (63-72 G)
Yumurta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,179.0,179.0,179.0,179.0,159.0,Onur Market,-11.17,Coşkun Yumurta 30'lu 53-63 gr
