,Mevsimlik Ürünler Hariç TÜFE,TÜFE B,TÜFE C,TÜFE D,TÜFE F,Mallar,Enerji,Gıda ve alkolsüz içecekler,İşlenmemiş gıda,Taze meyve ve sebze,Diğer işlenmemiş gıda,İşlenmiş Gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Enerji ve gıda dışı mallar,Temel mallar,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,Altın,Hizmet,Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler,TÜFE
2025-02-28,2.996416006313085,2.3151679579105355,1.7995928320544197,2.481539097729546,2.429191102230055,1.6304638085864465,3.578586539838091,3.1706124904435473,1.4022710011110107,-1.213679941825463,3.355927072808562,4.695862669559703,5.02110520211887,4.526850890478595,-0.15868230216283807,-0.2530808373938709,-5.258842820332621,1.1116919112105217,1.2561337599132028,0.5483994632930811,3.6092833741706354,5.235276917043885,3.116205399442795,7.304913827837267,3.6567000282370588,2.018548827059452,2.273331796499556
2025-03-31,2.0680430209134792,1.301653059086183,1.4649454766017422,1.1455867433209255,2.3904710876643476,2.7067505480316,0.027258731432389105,4.936660884269473,10.165050006086984,16.032876836056143,5.977234858529212,0.5678806266424585,0.17534391034328412,0.7727825030376723,1.839401982443034,0.8863388791534366,-2.5899369514155057,1.6290659020276266,2.0932124362611715,8.902873069099693,1.9568593411395163,3.3923021085304095,2.1489209965096068,-0.28505020109523826,0.5523858528686088,1.8251701507049134,2.4599913307325583
2025-04-30,3.04,3.1,3.34,3.27,2.96,2.99,4.32,2.01,1.98,-1.49,4.69,2.04,2.61,1.74,3.36,3.74,6.57,3.43,2.38,7,3,3.2,3.59,5.75,0.38,2.27,
