,Dayanıklı Mallar (altın hariç),Diğer hizmetler,Diğer Temel Mallar,Diğer işlenmemiş gıda,Diğer işlenmiş gıda,Ekmek ve tahıllar,Enerji,Giyim ve ayakkabı,Haberleşme hizmetleri,Kira,Lokanta ve oteller,"Mücevheratlar,altın ve kol saatleri",Taze Meyve Sebze,Ulaştırma hizmetleri,TÜFE,Hizmet,Gıda ve alkolsüz içecekler,İşlenmemiş gıda,Temel mallar,TÜFE B,TÜFE C
2022-07-31,733.19,812.163458661093,829.14,1523.45725317018,1179.43,1364.82,1227.6,368.269342433111,234.69,775.629474643041,1496.61563059072,2018.75,1273.79622306426,1056.60954194431,1000.8814838094439,958.6711342120279,1290.1003620518325,1403.4763619394848,659.7508379038213,892.8758082127298,792.7999650674118
2022-08-31,752.63,842.640069156535,867.61,1573.89227370507,1217.44,1416.11,1194.7,376.359948055993,238.55,805.480475418543,1551.37552478871,2035.92,1282.74817977203,1046.63389398922,1022.9818932814454,992.6949216228113,1326.5077810551054,1433.9756521489571,680.5340510824078,922.825079403264,819.4765446934949
2022-09-30,760.04,869.468717956532,893.69,1629.67293299536,1252.56,1450.79,1283.01,380.132716438491,245.79,840.59818112523,1610.99155170005,2027.58,1287.03160556376,1085.82979013356,1056.9667878138036,1030.9927731315588,1359.926720804801,1465.0080198518453,691.2163250349289,948.6721518747929,842.4504848036927
2022-10-31,779.58,902.20579136098,920.17,1696.91586712153,1298.12,1490.89,1313.39,377.310978177133,252.33,879.305012406869,1675.77836682267,2082.82,1401.50488592231,1131.53683201912,1095.5378916971638,1073.1645824545133,1422.8489891175614,1554.9486855050025,706.4957892002259,980.045418714936,869.6997051039805
2022-11-30,798.72,934.401674121166,940.12,1765.12759665356,1393.56,1536.78,1330.22,376.248725270312,259.8,915.094652783434,1754.72902502584,2150.12,1490.70148760985,1162.74900112839,1138.987405124303,1119.3063612962874,1505.9978199881825,1633.2452234771486,720.5524814596665,1022.2193204338299,898.0374375519608
2022-12-31,813.71,962.099019936961,973.55,1816.00053488077,1422.3,1576.09,1302.04,380.91918679887,262.3,955.862627206432,1781.00434849686,2167.42,1460.78508395351,1200.81923253865,1154.7372973156523,1146.774772334776,1529.1281760878267,1645.292810238744,737.020789661661,1045.7968883769515,919.401880607228
2023-01-31,853.71,1036.92757476123,1012.59,1978.34308304109,1478.97,1674.3,1322.75,390.296942426012,283.64,1023.54054694966,1965.71320134723,2396.85,1471.32226727507,1257.22762826203,1216.9409418167402,1249.9240423410674,1603.523802392684,1734.6814698437381,768.821035683454,1109.5100782534146,982.9595063799222
2023-02-28,875.01,1067.11939463854,1024.13,2093.69252630766,1559.84,1720.18,1331.2,396.625663036463,286.99,1050.47942829037,2049.3512512812,2384.52,1565.1263942648,1283.27286227499,1259.9232791269337,1293.9173528719684,1690.3702943894316,1839.6767691430027,784.0119616802629,1148.5949677350525,1010.9703451421724
2023-03-31,889.65,1109.14415580576,1049.96,2242.52579716561,1595.75,1760.7,1336.32,393.373016538659,289.98,1108.25423994473,2132.79243884221,2392.28,1587.05390458984,1316.41813553631,1296.002811062293,1349.3713077917234,1747.787171506683,1927.5222829425609,796.5171813279849,1181.4370142973842,1042.59200422642
2023-04-30,916.8,1156.21224081812,1061.45,2367.96963240999,1612.13,1775.91,1284.78,396.294509291912,313.23,1172.23189974094,2220.52893129186,2410.8,1630.51489300147,1344.40127422036,1324.6070432100992,1412.2032629117314,1792.220973235391,2013.5671978810774,813.8111690125703,1213.905380077944,1080.1548960132545
2023-05-31,948.73,1208.94783258785,1072.35,2475.91552030761,1632.0,1789.51,1014.92,414.092101635865,322.56,1242.36590489519,2357.53787527961,2427.38,1659.25335586292,1379.29245819723,1331.1567983131174,1493.4015759374565,1831.643121441281,2083.447964266156,837.3031379617039,1255.8329385546463,1129.3319014286842
2023-06-30,1011.75,1248.63028562681,1093.29,2599.30413651068,1665.76,1814.79,1057.88,428.191020569087,331.53,1321.15749287073,2444.84809838752,2685.26,1947.19713136428,1397.33558832457,1397.607338970481,1557.1742526351986,1932.7315011056912,2285.917703625858,878.0577885527568,1302.3612527840191,1180.3318525909838
2023-07-31,1138.1,1373.28079644568,1188.76,2781.26367062214,1733.83,2000.35,1192.54,450.655565565638,343.92,1413.61763895102,2726.37895109943,3004.95,2212.68008824637,1516.61090018048,1526.5629351650657,1710.01678991717,2075.808838055361,2508.016520581768,970.3458983758205,1414.4961874544902,1299.5726779666632
2023-08-31,1227.06,1464.84860083986,1306.65,2966.58309891815,1910.25,2262.86,1362.29,489.242662518021,361.59,1513.43122890673,2930.54822060268,3112.37,2633.28173028846,1894.92108485838,1677.5056822028948,1837.969519771283,2310.8737014468825,2806.406738035417,1052.714234391881,1538.4392333848903,1402.2305824306986
2023-09-30,1258.71,1570.34176455735,1341.4,3142.12836984723,2001.81,2327.81,1414.48,496.79780493586,381.08,1634.40096403999,3091.96251271115,3389.97,2603.72444758537,2113.94095653961,1748.6967610750414,1956.7374381810948,2393.6585567358215,2883.3848150053964,1078.783850881126,1610.3881506685939,1469.5601210878306
