,Alkollü içecekler ve tütün,Ev eşyası,Eğitim,Eğlence ve kültür,Giyim ve ayakkabı,Gıda ve alkolsüz içecekler,Haberleşme,Konut,Lokanta ve oteller,Sağlık,Ulaştırma,Çeşitli mal ve hizmetler,TÜFE
2024-12-31,100.0,100.0,100.0,99.99999999999996,99.99999999999996,99.99999999999996,100.0,100.0,99.99999999999996,100.0,100.0,100.0,
2025-01-31,101.1352851274022,101.28844549260306,101.89836255431881,100.47232425405691,100.08994648936357,101.85440060643754,99.98303278980927,103.74779839188882,101.20784719324041,143.73144654254463,102.30117365276452,100.42518416090543,
2025-02-28,101.14810314650157,107.30499602073014,109.52652039690962,104.1054125334605,104.59928595556228,105.3425115619171,98.88936555898583,109.00994996745696,104.81208120944638,123.32582906400303,104.38539719905732,105.8526925448541,
2025-03-31,111.15844789133696,111.04171569720756,117.87109682952962,105.65663060946393,111.4304077375789,110.73289815430564,97.4224167436086,111.60639952947588,105.93731345177419,122.3764659665578,104.54194632631942,111.15542588932159,
2025-04-30,111.15844789133696,112.0167092665132,117.885775587965,106.69211508509484,112.64534486206408,112.71442355265594,95.44672129199705,117.28622941674716,110.38790085994192,122.3764659665578,107.95218213643489,114.35712395658874,
2025-05-31,111.15844789133696,113.79451106752585,117.90016756869036,108.38464673816235,112.61377037175248,112.27368286544537,95.30502777546674,121.38803045629732,115.54487011754662,122.3764659665578,110.47307938809276,115.94832420227397,
2025-06-30,111.15862184514047,114.31201747623594,118.05655005688104,108.66652883656919,113.11948623032117,112.03612957204359,95.13132016291398,125.08721865571424,119.80029790020511,122.37287458635997,113.60543664312753,117.7762099288427,
2025-07-31,111.16021178359215,115.39310875584083,118.05655005688104,109.47664397937301,114.134272683061,112.58237996944801,95.1823011977104,130.0518994593065,121.96637630274643,122.38751532523827,114.38364703227643,118.32033637876255,
