name,id,location,distance_to_center,rating,review_text,review_count,price,features,image_urls
Ramada by Wyndham İstanbul Golden Horn,478227,"Sütlüce, Beyoğlu, İstanbul",Merkeze 3.7 km,8.8,Müthiş,(91 yorum),3.831 TL,"Otopark, Spa, Toplantı Odaları, Wi-Fi, Jakuzi, Restoran","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292627300000/2/1/9793/ramada_by_wyndham_istanbul_golden_horn.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/15212/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/15213/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/15214/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/15215/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Stay İnn Taksim Hostel,478901,"Kamer Hatun, Beyoğlu, İstanbul",Merkeze 700 m,7.9,İyi,(13 yorum),1.574 TL,"Wi-Fi, Teras, Engelli Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292476270000/2/1/9455/stay_inn_taksim_hostel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/529291/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/529292/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/529293/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/529294/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Platine Hotels & Suites,105595,"Taksim, Beyoğlu, İstanbul",Merkeze 400 m,8.0,Çok iyi,(32 yorum),3.798 TL,"Otopark, Wi-Fi, Resepsiyon, Engelli Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290577570000/2/1/8390/the_legend_platine_suite.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/148366/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/148367/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/148368/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/148369/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Bof Hotels Business,478410,"Dudullu, Ümraniye, İstanbul",Merkeze 7 km,8.4,Çok iyi,(144 yorum),2.650 TL,"Otopark, Spa, Toplantı Odaları, Wi-Fi, Restoran, Hamam","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294192030000/2/1/10690/bof_hotels_business.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/248685/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/248686/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/248687/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/248688/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Han 1772 Hotel,1425656,"Sirkeci, Fatih, İstanbul",Merkeze 700 m,9.2,Muhteşem,(9 yorum),5.466 TL,"Otopark, Wi-Fi, Restoran","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638113052724970000/2/1/25676/han_1772_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/520894/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/520895/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/520896/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/520897/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Hotel Bosfora Plus,1315687,"19mayis, Şişli, İstanbul",Merkeze 2.3 km,8.2,Çok iyi,(7 yorum),4.343 TL,"Otopark, Wi-Fi, Restoran, Şehir Manzarası, Teras, Resepsiyon","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294228370000/2/1/10753/hotel_bosfora_plus.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/218439/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/218440/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/218441/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/218442/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Tuzla Garden Hotel & Suites,1104704,"Tuzla, İstanbul",Mükemmel Konum,9.8,Olağanüstü,(6 yorum),4.894 TL,"Havuz, Spa, Wi-Fi, Deniz Manzarası, Restoran, Hamam","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294257400000/2/1/10933/tuzla_garden_hotel___suites.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/169863/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/169864/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/169865/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/169866/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Reyyan Hotel,687070,"Fatih, İstanbul",Merkeze 1.1 km,8.7,Müthiş,(11 yorum),2.384 TL,"Toplantı Odaları, Wi-Fi, Restoran, Resepsiyon, Çocuk Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294064930000/2/1/10609/reyyan_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/166188/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/166225/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/166231/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/166224/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Alpek Hotel,618218,"Eminönü, Fatih, İstanbul",Merkeze 700 m,9.2,Muhteşem,(5 yorum),4.254 TL,"Kahvaltı Dahil, Toplantı Odaları, Wi-Fi, Restoran, Fitness, Teras","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294193030000/2/1/10696/alpek_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/123612/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/123594/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/123599/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/123604/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Broyt Hotel,1354896,"Caddebostan, Kadıköy, İstanbul",Merkeze 1.9 km,9.0,Muhteşem,(41 yorum),9.139 TL,"Otopark, Toplantı Odaları, Wi-Fi, Restoran, Resepsiyon, Engelli Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294263730000/2/1/10972/broyt_suites.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/231868/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/231869/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/231870/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/231871/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Meroddi Galata Mansion,106794,"Galata, Beyoğlu, İstanbul",Merkeze 1.3 km,8.8,Müthiş,(4 yorum),3.082 TL,"Kahvaltı Dahil, Toplantı Odaları, Wi-Fi, Restoran, Resepsiyon, Çocuk Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293621030000/2/1/10147/meroddi_galata_mansion.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/159134/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/159135/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/159136/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/159137/ob.jpg?width=552&height=392&mode=crop&anchor=center"
