Ana Grup,Ağırlık
Ev eşyası,0.08700788755017778
Eğitim,0.024145242964998512
Eğlence ve kültür,0.021873345708937675
Giyim ve ayakkabı,0.08522749998708849
Gıda ve alkolsüz içecekler,0.30055881988649935
Haberleşme,0.04150930691412791
Konut,0.17113201637672062
Lokanta ve oteller,0.0935204177628504
Ulaştırma,0.13555436502470658
Çeşitli mal ve hizmetler,0.03947109782389281
