,IBDE,Sepet,Kredi,Otomobil,otomobil_degisim,kur_degisim,ibde_degisim,kredi_degisim,buyuk_kur_soku
2015-02-28,105.0881789704,2.6272725,1272250.9,174.24,2.1396330382789097,3.9752946009765644,-1.9377019790968064,2.963687528027581,0
2015-03-31,102.5525954779,2.6991,1305863.3225,174.79,0.3156565656565524,2.7339189216192716,-2.4128151399542164,2.6419649221706365,0
2015-04-30,101.1891345248,2.755733333333333,1337578.94,174.53,-0.1487499284856031,2.098230274288948,-1.329523593962889,2.428708805396429,0
2015-05-31,102.8979975567,2.8056710526315785,1355814.21,176.11,0.9052884890849766,1.8121390300795515,1.6887811521712148,1.363304209918259,0
2015-06-30,103.0222340194,2.869093181818182,1387992.785,177.49,0.7836011583669311,2.2604976847559133,0.12073749309993165,2.373376437764274,0
2015-07-31,99.8878171309,2.837895454545454,1400799.8699999999,179.49,1.1268240464251456,-1.0873723959344384,-3.0424664329350093,0.9227054447548788,0
2015-08-31,98.3958119687,3.0118,1436990.3275000001,180.76,0.7075603097665528,6.127940519302899,-1.493680816194809,2.5835566004157595,0
2015-09-30,96.4833465863,3.1945525,1471157.7275,188.68,4.3815003319318535,6.067882993558671,-1.94364510453795,2.37770563560038,0
2015-10-31,96.4385393348,3.119704761904762,1460454.03,192.86,2.215391138435452,-2.3429803734713373,-0.0464403993905016,-0.7275696752236938,0
2015-11-30,94.6627934992,2.985728571428571,1453572.6600000001,191.47,-0.7207300632583347,-4.294515048737835,-1.8413238606147297,-0.47118018497301906,0
2015-12-31,92.2168392209,3.0489369565217386,1475037.418,189.46,-1.0497728103619264,2.117017122655751,-2.5838602347190154,1.4766897170451765,0
2016-01-31,87.4594693896,3.1425850000000004,1495698.655,191.56,1.1084133854111666,3.0714981914580664,-5.1588949171246234,1.400726296693855,0
2016-02-29,88.6663333305,3.1073142857142857,1502242.7325,197.01,2.8450615994988437,-1.1223471850630884,1.3799122602995206,0.43752646819086305,0
2016-03-31,89.5160039031,3.054532608695652,1499216.7575,197.38,0.18780772549618074,-1.6986269223327244,0.9582786844617663,-0.20143049685213965,0
2016-04-30,90.8136225128,3.029528571428571,1511112.026,197.46,0.0405309555172817,-0.8185879959473841,1.4495939866849383,0.7934321998798843,0
2016-05-31,92.5136012491,3.1262809523809523,1546442.9675,197.08,-0.19244403929910003,3.193644775786275,1.871942434694085,2.3380755954621746,0
2016-06-30,93.0594288008,3.1027500000000003,1552933.7325,199.16,1.055408970976246,-0.7526819482756686,0.5899970861909409,0.41972223589292756,0
2016-07-31,91.9880678591,3.1198694444444444,1569441.06,199.77,0.30628640289216413,0.5517506871144606,-1.1512653317412136,1.0629769419346458,0
2016-08-31,92.3771877247,3.1474681818181818,1580340.4775,202.54,1.3865945837713278,0.8846119321717971,0.42301123901853366,0.6944776569054456,0
2016-09-30,92.5969347379,3.143952777777778,1591894.73,203.13,0.29130048385503926,-0.11168989922475392,0.23788017216423984,0.7311242523053041,0
2016-10-31,94.4281770633,3.2331166666666666,1619463.73,205.59,1.2110471126864697,2.836044151779915,1.9776489692487242,1.7318356220703102,0
2016-11-30,92.5734227776,3.4070386363636365,1667684.4325,208.49,1.4105744442823198,5.379390465246736,-1.9641957976766378,2.9775722423866835,0
