,Madde,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31
0,Ampul,4.672651696032304,2.6647068970882426,1.1073101672342212,3.864183574182989,1.1037307712308708,1.240026643687453
1,Ankastre Fırın,1.5854525071344217,2.4076587975330854,1.6195464825784267,1.4727595960926099,-0.34266927294881455,1.2816039287450787
2,Ankastre Mikrodalga Fırın,1.8563620432622274,2.168362912954458,-0.5262801440273579,1.6365977698370227,1.5287877408172612,1.427094337797219
3,Ankastre Ocak (Set Üstü) ,2.488052716303635,1.8691900447340926,0.16705532662331102,1.2527420597181704,0.43039479139921344,1.1746764525147224
4,Antep Fıstığı,0.9029435245220041,3.034464651797708,4.1588467821745745,14.325171874717647,5.610557705460684,2.7909785113630736
5,Araba Kiralama Ücreti,-16.345762324775958,23.166692298187776,24.706027477320468,3.126974009786254,28.296285367845343,-0.07015243665319248
6,Araçların  Tamirine ve Bakımına Ödenen Ücretler (İşçilik),16.007164219828283,14.545601798907981,-17.5348888055893,-3.7993739986695862,17.70681746082483,-3.4503158387497734
7,Armut,0.06267355978715194,-0.7797068854059619,3.6810016559651437,14.997224104899253,-2.488750680931573,-14.422320256187692
8,Ay Çekirdeği,1.883183943163358,0.08870855842215697,-0.163688466730616,3.6872710667476216,2.217909673045959,5.240294320253636
9,Ayakkabı (Erkek için),3.653836377112052,7.0075672962510716,-0.39144460737567943,-0.08911578993784364,0.5320481132931487,0.8600706689490423
10,Ayakkabı (Kadın için),1.886881299647336,4.749573891253767,1.7484708266693794,-1.3849347435972659,-0.31638143176851985,0.2729094685571809
11,Ayakkabı (Çocuk için),0.6428307387781329,3.995051690699114,0.5666247680612635,-0.38308746605939525,-1.032123178970401,-0.8408419916037913
12,Ayakkabı Tamiri (Erkek),12.140511062219716,3.8481018063225347,-2.1601170463195207,0.8515115915666005,-2.189667410626306,-3.8983959555963787
13,Ayran,12.361267118025454,0.30971941509276846,0.0013322366813950381,-0.530537612085169,-0.4140149155915318,0.8684876018634657
14,Ayran (Servis edilen),-10.948113957767747,-35.32664883841142,2.1991162258356844,-2.343742100260604,-2.073793624129683,2.5439202699977015
15,Ayva,30.703772555039087,-11.437681891707374,2.685462099978486,14.997224104899477,-2.488750680931384,-14.422320256187904
16,Ayçiçek Yağı,6.431003503241883,1.5429284071953875,2.349752702198127,3.3861654208706238,1.4864360806150945,4.46142260237572
17,Ağız ve Diş Bakımı Ürünleri,4.933804787807561,2.5955961620592216,1.8066588029920227,2.7927422223852583,0.6635684246095286,0.6245807458427732
18,Badana ve Boya Malzemeleri,8.130545671034305,6.542110672753965,0.6617008238619881,2.2331591768806724,0.8507222681930271,1.9062087258876481
19,Badem İçi,2.9938811291890577,0.8593973552709411,2.412714710181807,5.961160377119024,1.919134747186968,-12.352282397693825
20,Baharat,1.1784995356663108,1.4788622088240944,3.823437637893168,1.4035844471005143,0.03795976711757909,-1.5638667089060587
21,Baklava,0.04077918687337423,-2.4711786863539698,-1.8281206769408143,-0.646289671475142,-0.03689880733785955,13.8520795972936
22,Bal,7.164289428256154,1.3985008347197736,2.2891969625625785,-0.32707961655550344,2.073618451840442,5.899336887654116
23,Balık,5.675654808719788,-6.917825578269488,6.618120534109173,4.3756576119363455,2.7311905079055565,5.135189367754145
24,Banka ile Para Havale Ücreti,-0.008223554685815593,-0.024672693029870185,0.0,0.0,0.0,0.0
25,Battaniye,11.222140375592083,21.27849047911492,1.4295976841454339,2.986431570919268,1.6564904898190624,0.600052334186918
26,Bebek Arabası,0.9824285912288566,1.2563664595177215,0.8593785013901734,1.0333739013827614,0.8816660091599315,2.7422848679459655
27,Bebek Bezi,1.5157807676962953,-1.6863644376520548,1.1253357507852835,1.826190550036566,1.170195576431654,2.022013792622346
28,Bebek Pijaması,1.7569275414622831,7.254367061290101,-0.8930022481552613,-2.433744263798998,-0.7819543634755566,-2.651434201030678
29,Bebek Sütü (Toz Karışım),2.9077017465696464,3.309508569505004,6.840396885807287,5.777872487602109,4.005651581581082,3.7281987047964815
30,Bebek Tulumu,3.1169891238260083,3.8263853430227535,-0.7671874998368855,-1.010909855344999,-0.3671882198608256,0.7948306050819864
31,Bebek İç Çamaşırı,3.0830153129861593,7.48975358341657,-0.0331781388453245,-1.3233323503469063,-2.2484652844973474,-7.296845681479458
32,Belediye Otobüs Ücreti,14.832700492073325,10.049462801232401,0.0,0.0,0.0,0.0
