,TAZE_MEYVE_VE_SEBZE_SA,DI_ER_I_LENMEMI__G_DA_SA
2016M12,304.8954,382.2271
2017M01,359.4573,382.1323
2017M02,345.1731,385.3234
2017M03,359.4519,383.1364
2017M04,364.9427,381.4752
2017M05,369.8130,386.7903
2017M06,355.0365,395.5062
2017M07,347.2230,401.2383
2017M08,342.8990,411.2039
2017M09,340.0872,411.8664
2017M10,353.2545,411.0622
2017M11,377.2361,415.0215
2017M12,388.5357,417.9627
2018M01,355.1832,415.9409
2018M02,355.4983,419.8398
2018M03,357.2444,423.2424
2018M04,340.0589,418.2602
2018M05,371.8782,432.6281
2018M06,460.9389,465.2539
2018M07,466.4005,470.2475
2018M08,460.4896,484.2007
2018M09,525.5096,504.9740
2018M10,522.0289,519.7596
2018M11,496.7270,520.2509
2018M12,508.0026,522.3303
2019M01,590.8968,528.0774
2019M02,575.3448,532.5411
2019M03,621.1143,527.1670
2019M04,602.4686,542.9094
2019M05,564.0451,554.9363
2019M06,531.9304,546.7254
2019M07,501.9832,549.4666
2019M08,515.0360,547.8310
2019M09,508.2319,545.8167
2019M10,528.2881,547.0728
2019M11,509.2363,551.5639
2019M12,527.5946,564.4206
2020M01,567.9860,568.4397
2020M02,575.4779,578.5571
2020M03,580.8686,588.0534
2020M04,585.0278,600.6202
2020M05,621.5338,607.5288
2020M06,611.8164,603.2687
2020M07,580.4680,614.4013
2020M08,598.3812,623.2189
2020M09,615.9214,626.5190
2020M10,629.7572,645.3339
2020M11,680.4058,676.8625
2020M12,698.9257,691.6169
2021M01,627.9035,698.3598
2021M02,621.9855,707.9926
2021M03,621.3467,703.9525
2021M04,659.6632,690.5569
2021M05,679.4936,711.5850
2021M06,669.5404,744.7147
2021M07,722.6720,771.0707
2021M08,828.9272,801.8353
2021M09,815.0914,823.9563
2021M10,793.4375,843.9182
2021M11,774.2375,890.3460
2021M12,824.4516,1055.700
2022M01,907.7003,1122.156
2022M02,1127.208,1146.648
2022M03,1136.636,1221.301
2022M04,1360.505,1349.862
2022M05,1336.981,1408.073
2022M06,1211.061,1475.007
2022M07,1287.334,1524.822
2022M08,1255.292,1567.109
2022M09,1297.224,1606.422
2022M10,1407.719,1684.421
2022M11,1530.285,1744.760
2022M12,1462.306,1806.081
2023M01,1427.655,1972.511
2023M02,1579.002,2098.547
2023M03,1534.408,2270.081
2023M04,1568.508,2413.222
2023M05,1642.320,2491.250
2023M06,1871.117,2595.068
2023M07,2218.642,2778.930
2023M08,2539.178,2951.007
2023M09,2589.430,3113.389
2023M10,2471.888,3338.138
2023M11,2376.975,3412.376
2023M12,2630.538,3567.434
2024M01,2636.899,3742.949
2024M02,2824.971,3966.813
2024M03,2832.566,4194.384
2024M04,2827.777,4291.558
2024M05,3015.751,4346.266
2024M06,3369.087,4317.202
2024M07,3493.671,4385.775
2024M08,3298.292,4431.638
2024M09,3458.159,4671.359
2024M10,3904.379,4695.022
2024M11,4532.435,4834.099
2024M12,4431.105,4950.746
2025M01,4288.434,4977.464
2025M02,4002.355,5117.796
2025M03,4607.417,5264.079
