,Alkollü içecekler ve tütün,Ev eşyası,Eğitim,Eğlence ve kültür,Giyim ve ayakkabı,Gıda ve alkolsüz içecekler,Haberleşme,Konut,Lokanta ve oteller,Sağlık,Ulaştırma,Çeşitli mal ve hizmetler,TÜFE
2024-12-31,100.0,100.0,100.0,99.99999999999996,99.99999999999996,99.99999999999996,100.0,100.0,99.99999999999996,100.0,100.0,100.0,100.0
2025-01-01,101.1352851274022,100.0,100.0,99.99999999999996,99.99999999999996,100.33215580504118,100.0,100.0,99.99999999999996,143.73144654254463,100.78563993130317,100.0,100.9148251881441
2025-01-02,101.1352851274022,100.0,100.0,99.99999999999996,99.99999999999996,100.56859771992154,100.0,100.0,99.99999999999996,143.73144654254463,100.78563993130317,100.0,100.98146402107312
2025-01-03,101.1352851274022,100.0,100.0,99.99999999999996,99.99999999999996,100.645422562085,100.0,100.0,99.99999999999996,143.73144654254463,100.78563993130317,100.0,101.00311634876772
2025-01-04,101.1352851274022,100.0,100.0,99.99999999999996,99.99999999999996,100.62462900681884,100.0,100.0,99.99999999999996,143.73144654254463,100.78563993130317,100.0,100.99725588931372
2025-01-05,101.1352851274022,100.0,100.0,99.99999999999996,99.99999999999996,100.5742526927624,100.0,100.0,99.99999999999996,143.73144654254463,100.78563993130317,100.0,100.9830578196623
2025-01-06,101.1352851274022,101.16082378832382,100.0,99.99999999999996,99.99999999999996,100.75038023211606,100.0,103.77143053401484,99.99999999999996,143.73144654254463,101.4125425863124,100.0,101.81681046497523
2025-01-07,101.1352851274022,101.1938316137468,100.734994649195,100.00473096283152,100.00529437806868,100.96119160906945,100.0,103.90524571653587,100.18172143253574,143.73144654254463,101.55499459805353,100.01000226610375,101.95299015356088
2025-01-08,101.1352851274022,100.03579000536304,100.73306045274973,100.00519309824796,100.00642263477114,101.42240302907864,100.0,103.99741778798288,100.20441420022884,143.73144654254463,101.55512558064824,100.01067244119048,102.00537404757588
2025-01-09,101.1352851274022,101.20354787322783,100.67299146314346,100.36238718023274,100.0100348975767,101.70934015468691,100.0,104.19338008810598,100.6178732875563,143.73144654254463,101.70427674808624,100.17195070331178,102.28148003252896
2025-01-10,101.1352851274022,101.20587979777804,100.77992469729088,100.3595862803279,100.01403084893444,101.7004981454288,100.0,104.29128551497924,101.26539868968187,143.73144654254463,101.71579894340294,100.1806917572079,102.35622879520592
2025-01-11,101.1352851274022,101.19898687211295,100.99276025636684,100.35853876344213,100.01224089897607,101.76986635343827,99.99999999999996,104.38401901608825,101.3568610999627,143.73144654254463,101.95553541106749,100.15112463561356,102.43387317904654
2025-01-12,101.1352851274022,101.20309847561596,101.43009121838226,100.36361699993424,100.01023549277,101.79393796409931,100.0,104.47885465576348,101.35651071604104,143.73144654254463,101.98318295894258,100.23305000093777,102.47277166458804
2025-01-13,101.1352851274022,101.206354631007,101.63531715731035,100.36477050371968,100.00887004373476,101.79542492954232,99.99966677819556,104.57695078671348,101.35703574199697,143.73144654254463,102.03427098043926,100.260311500623,102.50166207434935
2025-01-14,101.1352851274022,101.2819725224914,101.8909721450488,100.42045670307084,100.03358376917498,101.76018404507752,100.00089172691382,104.69431568402275,101.35703574199697,143.73144654254463,102.40404190757668,100.39069642060396,102.58016860218872
2025-01-15,101.1352851274022,101.5698171652974,102.0284198720668,100.43165229526916,100.08282311527152,101.76879700479316,99.9905267031666,104.77050244190148,101.42594935706316,143.73144654254463,102.90388730709935,100.3928674696182,102.69842764731088
2025-01-16,101.1352851274022,101.63943418106398,101.92826883973169,100.55367198281591,100.2727421265365,101.75383216779188,100.00008944471134,104.84174453732106,101.4566539105795,143.73144654254463,103.33376929489155,100.50419164475105,102.79164932143593
2025-01-17,101.1352851274022,101.70663401577926,102.01288016063845,100.57816792674404,100.13787973851944,101.78702353438182,99.98657582920936,104.90182456055304,101.7223242947723,143.73144654254463,103.34481738152428,100.58568559768352,102.83504023944649
2025-01-18,101.1352851274022,101.84834210743564,102.70522806618708,100.78149461025842,100.06575451306506,101.87129579863932,99.95862723728057,105.06799493083754,101.64625751680128,143.73144654254463,103.59068602907136,100.65444661843092,102.93890512908054
2025-01-19,101.1352851274022,101.94091504827058,103.16328901951849,100.80693087822424,100.09708210540792,101.882732828038,99.97282900680464,105.11979766856744,101.5458256960736,143.73144654254463,103.57201953821502,100.84030205921626,102.96750874514312
2025-01-20,101.1352851274022,102.17344627196388,103.7147302202828,100.9771143438383,100.20439277373688,101.96644507871,99.9708887414088,105.24529356129489,102.21399050685744,143.73144654254463,103.70352351067672,100.9634265535157,103.13550188783992
2025-01-21,101.1352851274022,102.39328891001232,105.00531917153803,101.16325433348848,100.40308565473852,101.84699141579937,99.91192951882356,105.31822311204616,102.24590547611888,143.73144654254463,103.60997187110354,101.11269665709509,103.17385924662048
2025-01-22,101.1352851274022,102.44011400999212,105.42074720736898,101.16719360186534,100.31946538466308,101.89785842849008,99.9266145209475,105.3909996480973,103.02183031830434,143.73144654254463,103.6052387383423,101.21882239155752,103.2784081191744
2025-01-23,101.1352851274022,102.63880959103912,105.2545738148948,101.349653901721,100.28723292962287,101.97188254045832,99.92624836872604,105.4632953935508,103.0246694603966,143.73144654254463,103.63785796460564,101.2324471387263,103.32960750948132
2025-01-24,101.1352851274022,102.88160494195242,105.45713289193802,101.2873677313321,100.18863499838116,102.2804962555032,99.94789907923484,105.53458576695526,102.98807519080236,143.73144654254463,103.67842665977344,101.29103400554374,103.44851566797068
2025-01-25,101.1352851274022,103.1344871969076,105.78654198662016,101.3146195649957,100.18496978032582,102.2685329826618,99.94225404273575,105.60413135388632,102.79576900929555,143.73144654254463,103.78073479800224,101.32359618081718,103.48252077407226
2025-01-26,101.1352851274022,103.31423880535868,105.8104897637686,101.47031502794736,100.27264754729094,102.44638228792856,99.94756145260216,105.67215692656724,103.18759061782816,143.73144654254463,103.81210076593082,101.397243102011,103.61047657455438
2025-01-27,101.1352851274022,103.51065309252104,105.76345680579604,101.5759584584963,100.46191351998702,102.59995542615847,99.96199057790643,105.74596436613182,103.18897153309923,143.73144654254463,103.82572567942977,101.50085197765272,103.704204385249
2025-01-28,101.1352851274022,103.9862863106929,106.0341094615592,101.80400118343756,101.1960943296245,102.76840937196096,99.92808843891773,105.81938429137062,103.32911907899032,143.73144654254463,103.85103528134508,101.76179888538871,103.89577869534264
2025-01-29,101.1352851274022,103.79271063744258,105.80222052398835,101.85587976382456,101.04621601504822,103.07682162636664,99.88560881692123,105.88696937971898,103.4623937428688,143.73144654254463,103.66432342444506,101.88943211696628,103.95127424027493
2025-01-30,101.1352851274022,103.81548031447,106.55633646143356,101.92884877970188,101.059079624678,103.16626636594768,99.87371646412925,105.95350516319375,103.16542998228503,143.73144654254463,103.67980156239122,102.02277558549282,103.98912593743822
2025-01-31,101.1352851274022,103.88786250182922,106.22195641209578,102.03482607750232,101.15144645564612,102.8979591120951,99.88491481908515,106.00691079338444,103.4177440434235,143.73144654254463,103.45414402254806,102.13464069842571,103.9263668524336
2025-02-01,101.1352851274022,104.1658308298906,106.47503530188229,102.23973191217692,101.4610055338929,103.28941041462146,99.9482433816768,107.4538165659627,103.23787598606374,143.73144654254463,103.66973063709708,102.60427324880816,104.35926077015404
2025-02-02,101.1486604516798,104.35983930806796,106.58763700731998,102.35412240166164,101.60913931515368,103.30987530672166,99.9835999619306,107.4540016724012,103.49203813241527,122.43862830406644,103.65693524268129,102.7990962713772,104.10081726462654
2025-02-03,101.1486604516798,104.56112094452948,106.48732763103564,102.48684162634868,101.91746766464092,103.4328743383925,99.97664982418384,107.49803851677363,103.49125383520092,122.43862830406644,103.65059462846624,103.03314665573376,104.191537117369
2025-02-04,101.1486604516798,105.04223121674804,106.60376622899764,102.79104005273508,102.26162256104148,103.5345364645858,99.90811283438698,108.14770449738664,103.42172352449158,122.43862830406644,103.82507611415242,103.4772246847906,104.43118008639244
2025-02-05,101.1486604516798,105.28068597137784,106.75096700554484,103.00381700572424,102.23865149649616,103.97106092272897,99.85963911314884,108.43100175545028,104.05443808611292,122.43862830406644,103.83239203609554,103.70357123286422,104.68794859232396
2025-02-06,101.1486604516798,105.61266715787087,106.85728575773166,103.0741797406612,102.30941961278808,104.47719564182664,99.83399616403015,108.47598024381136,103.87841711888898,122.43862830406644,104.30685766955368,103.92526900882298,104.9298941908179
2025-02-07,101.1486604516798,105.9081882430276,107.31694577608911,103.08586016819756,102.42120011897936,104.3444872169736,99.77414027785274,108.46516483451924,104.56717779266064,122.43862830406644,104.29975661974872,104.08901735744516,104.99762668111764
2025-02-08,101.1486604516798,106.17224435580223,107.28865054364138,103.33746384988984,102.60442858639236,104.36163823482484,99.84118737681796,108.52135470410572,105.07421882208708,122.43862830406644,104.32599500444644,104.45327431500736,105.1162661273632
2025-02-09,101.1486604516798,106.27093709638154,107.60333029312068,103.69263342673617,102.6999157805233,104.35629630309168,99.8554902080069,108.5209407744038,104.89736181481936,122.43862830406644,104.34182219399815,104.68408567056592,105.14050287520402
2025-02-10,101.1486604516798,106.4739629232166,107.64333945564113,103.97666315268954,103.36209552031733,104.47320150405052,99.8593114287014,108.5901031986232,105.06046811329348,122.43862830406644,104.34007837697276,104.88751359981602,105.2825154586526
2025-02-11,101.1486604516798,107.15540179340336,107.76788526972452,104.36550951957952,104.11324397892508,104.77547885515708,99.85860738820608,108.8074047876976,105.04218351723654,122.43862830406644,104.3539549165597,105.70800098576696,105.55960677822236
2025-02-12,101.1486604516798,107.48062617884432,108.3865949901672,104.47124694453711,104.40760772721023,105.11019630041196,99.68782689368028,108.88467109317494,105.65190630213716,122.43862830406644,104.43604286581808,105.9443427791732,105.79917424087664
2025-02-13,101.1486604516798,108.07143507491608,108.57192246337377,104.68790402876157,104.42127261127432,105.2064757557145,99.68549394791634,108.99650571193986,106.24036181777714,122.43862830406644,104.44247390498592,106.0951680614708,105.96015230764044
2025-02-14,101.1486604516798,108.07524448432832,107.59103171676168,104.68759408255512,104.42138437688492,105.19218702956344,99.68549394791634,108.99518545383002,106.30786958716654,122.43862830406644,104.44768349317552,106.09711467627636,105.94070965485967
2025-02-15,101.1486604516798,108.07524448432832,109.73410992093385,104.68759408255512,104.42138437688492,105.31674034824778,97.47472817915174,109.54474429731728,106.62650702879324,122.43862830406644,104.4495838602773,106.09711467627636,106.05467247862684
2025-02-16,101.1486604516798,108.07524448432832,109.73410992093385,104.68759408255512,104.42138437688492,105.37227976523135,97.47472817915174,109.54474429731728,106.62650702879324,122.43862830406644,104.4495838602773,106.09711467627636,106.0703257181602
2025-02-17,101.1486604516798,108.0647971181944,110.67960123037489,104.68777023386713,104.42538603568268,105.49767020188646,97.47472817915174,109.6869853273439,106.08977274691968,122.43862830406644,104.47713700815156,106.13295834644066,106.1073274188716
2025-02-18,101.1486604516798,108.6006785429836,111.6459939373511,104.87388952922228,106.10046153857289,105.89464094152412,97.46084082776332,109.90602913348415,105.47621347777924,122.43862830406644,104.7387719077719,106.77771755856386,106.46230367926496
2025-02-19,101.1486604516798,108.52452379100362,111.60926885988732,104.95074927384748,106.21127950772994,106.24131706212546,97.4396518800817,109.8841451552464,105.4456545308833,122.43862830406644,104.70955849765711,107.60207367170956,106.58297132523492
2025-02-20,101.1486604516798,109.35765509384235,112.59670010412646,105.20663717769798,107.95353993759493,106.24131706212546,97.56324696425796,109.93690325333344,104.6682179818116,122.43862830406644,104.7119081553844,108.4263295706656,106.7937145644466
2025-02-21,101.1486604516798,109.618885854725,113.6059598863632,105.33759338407933,108.94987558798512,106.46072384190862,97.60841474038592,110.00254128242771,104.2588027575641,122.43862830406644,104.7123631014406,108.5959951860268,106.96475784884188
2025-02-22,101.1486604516798,110.04783417929416,114.63753075672332,105.21830960308388,108.83162331697652,106.37777236120984,97.68470460299712,110.13321176325312,104.28906403895472,122.43862830406644,104.75026788274693,109.63412568262736,107.05794215419525
2025-02-23,101.1486604516798,110.08905150765275,115.69190593277284,105.23918014293682,109.2744672573193,106.45445902005004,97.69095750215727,110.14637996195496,103.97210196010047,122.43862830406644,105.14977333829968,109.73258912339418,107.17446457891803
2025-02-24,101.1486604516798,110.23557386276528,116.76958953533656,105.38597538094272,109.53680996742918,106.51388891694522,97.71497961210596,110.21124093720958,103.61981302476096,122.43862830406644,105.17119146161724,109.86750403659562,107.2398655427098
2025-02-25,101.1486604516798,110.93779188373128,117.87109682952963,105.63824903638456,111.69333252119856,107.0097946040792,97.75319073493552,110.35477598623442,103.42156090254494,122.43862830406644,105.17509363604006,110.34017245905696,107.6645414514767
2025-02-26,101.1486604516798,110.93779188373128,117.87109682952963,105.63824903638456,111.69333252119856,107.34249391618206,97.75319073493552,110.35477598623442,103.42156090254494,122.43862830406644,105.17509363604006,110.34017245905696,107.75830948700472
