Ürün,Grup,Kod,Ağırlık,Ana Grup
Baharat,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",01190,0.0036973154287674175,Gıda ve alkolsüz içecekler
Mayonez,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",01190,0.0036973154287674175,Gıda ve alkolsüz içecekler
Bebek Arabası,Başka yerde sınıflandırılmamış diğer kişisel aksesuarlar,12322,0.0016026901531185716,Çeşitli mal ve hizmetler
Şemsiye,Başka yerde sınıflandırılmamış diğer kişisel aksesuarlar,12322,0.0016026901531185716,Çeşitli mal ve hizmetler
Banka ile Para Havale Ücreti,Başka yerde sınıflandırılmayan diğer mali hizmetler (para havale ücreti vb.),12620,4.336163762185431e-05,Çeşitli mal ve hizmetler
Bebek İç Çamaşırı,Bebek giyim,03124,0.0011597979390695484,Giyim ve ayakkabı
Bebek Pijaması,Bebek giyim,03124,0.0011597979390695484,Giyim ve ayakkabı
Bebek Tulumu,Bebek giyim,03124,0.0011597979390695484,Giyim ve ayakkabı
Otomobil (Benzinli),Benzinli otomobiller (sıfır km),07113,0.07077418474828831,Ulaştırma
Tablet (Bilgisayar),Bilgisayar ve ekipmanları,09130,0.002509997951469904,Eğlence ve kültür
Bilgisayar Ekipmanları,Bilgisayar ve ekipmanları,09130,0.002509997951469904,Eğlence ve kültür
Bilgisayar,Bilgisayar ve ekipmanları,09130,0.002509997951469904,Eğlence ve kültür
Bisiklet,Bisikletler,07130,0.0005899853756142282,Ulaştırma
Derin Dondurucu,"Buzdolabı, derin dondurucu",05311,0.007361706499465902,Ev eşyası
No-Frost Buzdolabı,"Buzdolabı, derin dondurucu",05311,0.007361706499465902,Ev eşyası
Porselen Ev Eşyası,"Cam, porselen, seramik vb. mutfak eşyaları",05401,0.0024091925978317924,Ev eşyası
Cam Ev Eşyası,"Cam, porselen, seramik vb. mutfak eşyaları",05401,0.0024091925978317924,Ev eşyası
Dana Eti,Dana eti,01122,0.022780566792519007,Gıda ve alkolsüz içecekler
Metro Ücreti,Demiryolu ile şehir içi yolcu taşımacılığı,07311,8.753733656012263e-05,Ulaştırma
Tramvay Ücreti,Demiryolu ile şehir içi yolcu taşımacılığı,07311,8.753733656012263e-05,Ulaştırma
