title,price,square_meter,room_count,building_age,floor_type,url,page_number,listing_index
Başlık Bulunamadı,"18.000
TL",135 m²,3 + 1,3 Yaşında,5. Kat,https://www.hepsiemlak.com/burdur-merkez-bozkurt-kiralik/daire/97973-804,6,15
Başlık Bulunamadı,"15.250
TL",55 m²,1 + 1,Sıfır Bina,Bahçe Katı,https://www.hepsiemlak.com/antalya-aksu-altintas-kiralik/daire/105875-144,6,16
Başlık Bulunamadı,"25.500
TL",85 m²,2 + 1,7 Yaşında,2. Kat,https://www.hepsiemlak.com/izmir-karsiyaka-cumhuriyet-kiralik/daire/110285-392,6,17
Başlık Bulunamadı,"20.000
TL",175 m²,3 + 0,15 Yaşında,3. Kat,https://www.hepsiemlak.com/kayseri-melikgazi-gultepe-kiralik/daire/131846-2957,6,18
Başlık Bulunamadı,"10.500
TL",150 m²,3 + 1,40 Yaşında,3. Kat,https://www.hepsiemlak.com/kayseri-melikgazi-hunat-kiralik/daire/131846-2956,6,19
Başlık Bulunamadı,"27.000
TL",70 m²,1 + 1,4 Yaşında,5. Kat,https://www.hepsiemlak.com/ankara-cankaya-buyukesat-kiralik/daire/1248-2501,6,20
Başlık Bulunamadı,"16.500
TL",165 m²,3 + 1,11 Yaşında,2. Kat,https://www.hepsiemlak.com/nevsehir-merkez-emek-kiralik/daire/155600-75,6,21
Başlık Bulunamadı,"35.000
TL",150 m²,3 + 0,25 Yaşında,3. Kat,https://www.hepsiemlak.com/istanbul-sisli-esentepe-kiralik/daire/137955-68,6,22
Başlık Bulunamadı,"50.000
TL",150 m²,3 + 1,Sıfır Bina,5. Kat,https://www.hepsiemlak.com/izmir-bayrakli-mansuroglu-kiralik/daire/60930-2863,6,23
Başlık Bulunamadı,"15.000
TL",60 m²,1 + 1,11 Yaşında,12. Kat,https://www.hepsiemlak.com/samsun-atakum-cobanli-kiralik/daire/136563-238,6,24
Başlık Bulunamadı,"28.000
TL",150 m²,3 + 1,10 Yaşında,3. Kat,https://www.hepsiemlak.com/antalya-serik-belek-kiralik/daire/136963-238,7,1
Başlık Bulunamadı,"25.000
TL",180 m²,3 + 1,15 Yaşında,1. Kat,https://www.hepsiemlak.com/tekirdag-corlu-muhittin-kiralik/daire/92503-370,7,2
Başlık Bulunamadı,"15.500
TL",145 m²,3 + 1,17 Yaşında,Yüksek Giriş,https://www.hepsiemlak.com/ankara-polatli-kurtulus-kiralik/daire/141586-88,7,3
Başlık Bulunamadı,"26.000
TL",105 m²,3 + 1,Sıfır Bina,2. Kat,https://www.hepsiemlak.com/ankara-altindag-dogantepe-kiralik/daire/24968-73,7,4
Başlık Bulunamadı,"16.000
TL",90 m²,1 + 1,28 Yaşında,Giriş Katı,https://www.hepsiemlak.com/istanbul-avcilar-merkez-kiralik/daire/19884-26,7,5
Başlık Bulunamadı,"29.000
TL",135 m²,3 + 1,25 Yaşında,1. Kat,https://www.hepsiemlak.com/ankara-altindag-aydinlikevler-kiralik/daire/35001-3389,7,6
Başlık Bulunamadı,"26.000
TL",65 m²,1 + 1,38 Yaşında,Kot 1,https://www.hepsiemlak.com/ankara-cankaya-kazim-ozalp-kiralik/daire/4537-10975,7,7
Başlık Bulunamadı,"27.000
TL",120 m²,2 + 1,25 Yaşında,2. Kat,https://www.hepsiemlak.com/izmir-narlidere-ilica-kiralik/daire/110036-614,7,8
Başlık Bulunamadı,"20.000
TL",75 m²,2 + 1,5 Yaşında,Kot 2,https://www.hepsiemlak.com/istanbul-sisli-kustepe-kiralik/daire/68305-1410,7,9
Başlık Bulunamadı,"25.000
TL",90 m²,2 + 1,19 Yaşında,2. Kat,https://www.hepsiemlak.com/istanbul-uskudar-cumhuriyet-kiralik/daire/26878-561,7,10
Başlık Bulunamadı,"29.000
TL",125 m²,2 + 1,15 Yaşında,7. Kat,https://www.hepsiemlak.com/antalya-alanya-mahmutlar-kiralik/daire/147316-21,7,11
Başlık Bulunamadı,"16.000
TL",120 m²,2 + 1,25 Yaşında,Ara Kat,https://www.hepsiemlak.com/antalya-alanya-mahmutlar-kiralik/daire/158938-8,7,12
Başlık Bulunamadı,"47.000
TL",150 m²,3 + 1,28 Yaşında,4. Kat,https://www.hepsiemlak.com/istanbul-sariyer-poligon-kiralik/daire/4503-1928,7,13
Başlık Bulunamadı,"39.950
TL",142 m²,3 + 1,27 Yaşında,Kot 1,https://www.hepsiemlak.com/ankara-cankaya-kazim-ozalp-kiralik/daire/99750-598,7,14
Başlık Bulunamadı,"22.000
TL",130 m²,3 + 1,22 Yaşında,1. Kat,https://www.hepsiemlak.com/ankara-cankaya-metin-akkus-kiralik/daire/119869-951,7,15
Başlık Bulunamadı,"20.000
TL",100 m²,3 + 1,33 Yaşında,1. Kat,https://www.hepsiemlak.com/ankara-altindag-zubeyde-hanim-kiralik/daire/39746-1444,7,16
Başlık Bulunamadı,"40.000
TL",130 m²,3 + 1,30 Yaşında,2. Kat,https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/14347-1437,7,17
Başlık Bulunamadı,"22.500
TL",65 m²,1 + 1,4 Yaşında,2. Kat,https://www.hepsiemlak.com/mersin-yenisehir-ciftlikkoy-kiralik/daire/139357-264,7,18
Başlık Bulunamadı,"55.000
TL",170 m²,4 + 1,24 Yaşında,Giriş Katı,https://www.hepsiemlak.com/ankara-cankaya-buyukesat-kiralik/daire/6632-1884,7,19
Başlık Bulunamadı,"265.000
TL",285 m²,5 + 1,50 Yaşında,,https://www.hepsiemlak.com/istanbul-besiktas-levent-kiralik/villa/2608-5227,7,20
Başlık Bulunamadı,"27.000
TL",70 m²,2 + 1,4 Yaşında,1. Kat,https://www.hepsiemlak.com/istanbul-sisli-kustepe-kiralik/daire/68305-1711,7,21
Başlık Bulunamadı,"20.000
TL",75 m²,2 + 1,6 Yaşında,1. Kat,https://www.hepsiemlak.com/istanbul-sisli-kustepe-kiralik/daire/68305-804,7,22
Başlık Bulunamadı,"25.000
TL",130 m²,3 + 1,30 Yaşında,2. Kat,https://www.hepsiemlak.com/ankara-cankaya-ilkadim-kiralik/daire/3581-4092,7,23
Başlık Bulunamadı,"24.000
TL",120 m²,3 + 1,2 Yaşında,Ara Kat,https://www.hepsiemlak.com/canakkale-gelibolu-alaeddin-kiralik/daire/89047-1013,7,24
Başlık Bulunamadı,"10.000
TL",100 m²,2 + 1,3 Yaşında,Yüksek Giriş,https://www.hepsiemlak.com/istanbul-esenyurt-hurriyet-kiralik/daire/145353-184,8,1
Başlık Bulunamadı,"14.000
TL",114 m²,2 + 1,15 Yaşında,Yüksek Giriş,https://www.hepsiemlak.com/ankara-kecioren-karakaya-kiralik/daire/151255-47,8,2
Başlık Bulunamadı,"39.000
TL",88 m²,2 + 1,11 Yaşında,3. Kat,https://www.hepsiemlak.com/izmir-karsiyaka-inonu-kiralik/daire/9192-731,8,3
Başlık Bulunamadı,"35.000
TL",120 m²,3 + 0,31 Yaşında,2. Kat,https://www.hepsiemlak.com/izmir-narlidere-huzur-kiralik/daire/15771-1412,8,4
Başlık Bulunamadı,"22.000
TL",160 m²,3 + 1,25 Yaşında,Yüksek Giriş,https://www.hepsiemlak.com/gaziantep-sehitkamil-emek-kiralik/daire/70155-68,8,5
Başlık Bulunamadı,"22.000
TL",100 m²,2 + 1,11 Yaşında,3. Kat,https://www.hepsiemlak.com/gaziantep-sehitkamil-guvenevler-kiralik/daire/70155-60,8,6
Başlık Bulunamadı,"13.000
TL",120 m²,2 + 1,1 Yaşında,2. Kat,https://www.hepsiemlak.com/van-ercis-vanyolu-kiralik/daire/155865-21,8,7
Başlık Bulunamadı,"30.000
TL",110 m²,3 + 1,40 Yaşında,2. Kat,https://www.hepsiemlak.com/ankara-cankaya-fakulteler-kiralik/daire/88574-567,8,8
Başlık Bulunamadı,"19.000
TL",145 m²,3 + 1,13 Yaşında,2. Kat,https://www.hepsiemlak.com/isparta-merkez-yedisehitler-kiralik/daire/153184-29,8,9
Başlık Bulunamadı,"17.000
TL",105 m²,2 + 1,20 Yaşında,Ara Kat,https://www.hepsiemlak.com/kocaeli-gebze-ulus-kiralik/daire/123377-425,8,10
Başlık Bulunamadı,"11.000
TL",70 m²,2 + 0,5 Yaşında,Yüksek Giriş,https://www.hepsiemlak.com/kirikkale-yahsihan-yenisehir-kiralik/daire/140683-273,8,11
Başlık Bulunamadı,"28.500
TL",125 m²,3 + 1,13 Yaşında,3. Kat,https://www.hepsiemlak.com/ankara-altindag-gunesevler-kiralik/daire/35001-3394,8,12
Başlık Bulunamadı,"35.000
TL",60 m²,1 + 1,13 Yaşında,Yarı Bodrum,https://www.hepsiemlak.com/ankara-yenimahalle-gazi-kiralik/daire/0-44381655,8,13
Başlık Bulunamadı,"13.000
TL",85 m²,2 + 1,25 Yaşında,Bahçe Katı,https://www.hepsiemlak.com/ankara-sincan-ataturk-kiralik/daire/136047-946,8,14
Başlık Bulunamadı,"33.000
TL",110 m²,2 + 1,26 Yaşında,3. Kat,https://www.hepsiemlak.com/izmir-karsiyaka-bahcelievler-kiralik/daire/60980-102,8,15
Başlık Bulunamadı,"22.000
TL",65 m²,1 + 11,8 Yaşında,10. Kat,https://www.hepsiemlak.com/ankara-etimesgut-sehit-osman-avci-kiralik/daire/153785-7,8,16
Başlık Bulunamadı,"20.000
TL",108 m²,2 + 1,Sıfır Bina,2. Kat,https://www.hepsiemlak.com/konya-selcuklu-yazir-kiralik/daire/10935-2643,8,17
Başlık Bulunamadı,"16.000
TL",90 m²,3 + 1,5 Yaşında,Zemin,https://www.hepsiemlak.com/konya-meram-koycegiz-kiralik/daire/10935-2634,8,18
Başlık Bulunamadı,"27.500
TL",165 m²,3 + 1,21 Yaşında,3. Kat,https://www.hepsiemlak.com/konya-meram-alavardi-kiralik/daire/10935-2633,8,19
Başlık Bulunamadı,"25.000
TL",135 m²,3 + 1,21 Yaşında,1. Kat,https://www.hepsiemlak.com/konya-meram-havzan-kiralik/daire/10935-2665,8,20
Başlık Bulunamadı,"22.000
TL",110 m²,2 + 1,Sıfır Bina,1. Kat,https://www.hepsiemlak.com/konya-selcuklu-yazir-kiralik/daire/10935-2651,8,21
Başlık Bulunamadı,"16.500
TL",85 m²,2 + 1,5 Yaşında,1. Kat,https://www.hepsiemlak.com/konya-selcuklu-hocacihan-kiralik/daire/10935-2639,8,22
Başlık Bulunamadı,"27.500
TL",178 m²,4 + 1,16 Yaşında,7. Kat,https://www.hepsiemlak.com/konya-selcuklu-seyh-samil-kiralik/daire/10935-2662,8,23
Başlık Bulunamadı,"19.000
TL",135 m²,3 + 1,21 Yaşında,6. Kat,https://www.hepsiemlak.com/konya-selcuklu-musalla-baglari-kiralik/daire/10935-2670,8,24
Başlık Bulunamadı,"20.000
TL",125 m²,2 + 1,20 Yaşında,2. Kat,https://www.hepsiemlak.com/izmir-bornova-kazimdirik-kiralik/daire/60930-2867,9,1
Başlık Bulunamadı,"14.000
TL",110 m²,2 + 1,16 Yaşında,Ara Kat,https://www.hepsiemlak.com/duzce-akcakoca-osmaniye-kiralik/daire/136914-159,9,2
Başlık Bulunamadı,"32.500
TL",50 m²,Stüdyo,16 Yaşında,3. Kat,https://www.hepsiemlak.com/istanbul-beyoglu-gumussuyu-kiralik/daire/116789-1003,9,3
Başlık Bulunamadı,"40.000
TL",70 m²,1 + 1,4 Yaşında,1. Kat,https://www.hepsiemlak.com/istanbul-beyoglu-kocatepe-kiralik/daire/116789-1011,9,4
Başlık Bulunamadı,"50.000
TL",110 m²,2 + 1,18 Yaşında,Ara Kat,https://www.hepsiemlak.com/istanbul-bakirkoy-senlikkoy-kiralik/daire/4753-17450,9,5
Başlık Bulunamadı,"110.000
TL",240 m²,3 + 1,28 Yaşında,Ara Kat,https://www.hepsiemlak.com/istanbul-bakirkoy-senlikkoy-kiralik/daire/4753-17479,9,6
Başlık Bulunamadı,"175.000
TL",215 m²,4 + 1,4 Yaşında,1. Kat,https://www.hepsiemlak.com/istanbul-bakirkoy-senlikkoy-kiralik/daire/17780-20198,9,7
Başlık Bulunamadı,"30.000
TL",95 m²,2 + 1,21 Yaşında,1. Kat,https://www.hepsiemlak.com/ankara-cankaya-ilkadim-kiralik/daire/8230-116,9,8
Başlık Bulunamadı,"26.500
TL",140 m²,3 + 1,Sıfır Bina,7. Kat,https://www.hepsiemlak.com/adana-seyhan-mithatpasa-kiralik/daire/129131-280,9,9
Başlık Bulunamadı,"35.000
TL",135 m²,3 + 1,30 Yaşında,3. Kat,https://www.hepsiemlak.com/izmir-balcova-onur-kiralik/daire/145613-118,9,10
Başlık Bulunamadı,"23.000
TL",170 m²,3 + 1,5 Yaşında,7. Kat,https://www.hepsiemlak.com/gaziantep-sehitkamil-fistiklik-kiralik/daire/158202-57,9,11
Başlık Bulunamadı,"21.000
TL",110 m²,2 + 1,15 Yaşında,Zemin,https://www.hepsiemlak.com/mugla-fethiye-pazaryeri-kiralik/daire/154540-14,9,12
Başlık Bulunamadı,"75.000
TL",125 m²,1 + 1,10 Yaşında,2. Kat,https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/residence/98015-2176,9,13
Başlık Bulunamadı,"22.000
TL",80 m²,2 + 1,50 Yaşında,Kot 2,https://www.hepsiemlak.com/ankara-cankaya-remzi-oguz-arik-kiralik/daire/27203-3799,9,14
Başlık Bulunamadı,"28.000
TL",90 m²,2 + 1,10 Yaşında,3. Kat,https://www.hepsiemlak.com/izmir-karsiyaka-fikri-altay-kiralik/daire/5426-994,9,15
Başlık Bulunamadı,"40.000
TL",160 m²,4 + 1,30 Yaşında,2. Kat,https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/25987-2224,9,16
Başlık Bulunamadı,"12.000
TL",90 m²,2 + 1,30 Yaşında,1. Kat,https://www.hepsiemlak.com/samsun-ilkadim-19-mayis-kiralik/daire/138890-1109,9,17
Başlık Bulunamadı,"36.000
TL",80 m²,1 + 1,6 Yaşında,6. Kat,https://www.hepsiemlak.com/ankara-cankaya-ilkbahar-kiralik/daire/4537-10934,9,18
Başlık Bulunamadı,"16.750
TL",100 m²,2 + 1,4 Yaşında,5. Kat,https://www.hepsiemlak.com/samsun-canik-teknepinar-kiralik/daire/128585-3557,9,19
Başlık Bulunamadı,"43.000
TL",140 m²,3 + 1,15 Yaşında,Ara Kat,https://www.hepsiemlak.com/ankara-yenimahalle-kardelen-kiralik/daire/8970-1155,9,20
Başlık Bulunamadı,"32.000
TL",130 m²,3 + 1,45 Yaşında,2. Kat,https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-kiralik/daire/1124-6020,9,21
Başlık Bulunamadı,"14.500
TL",55 m²,1 + 1,4 Yaşında,1. Kat,https://www.hepsiemlak.com/gaziantep-sahinbey-guneykent-kiralik/daire/8074-822,9,22
Başlık Bulunamadı,"33.000
TL",130 m²,3 + 1,40 Yaşında,1. Kat,https://www.hepsiemlak.com/ankara-cankaya-maltepe-kiralik/daire/122440-585,9,23
Başlık Bulunamadı,"25.000
TL",240 m²,3 + 1,5 Yaşında,14. Kat,https://www.hepsiemlak.com/adana-seyhan-aydinlar-kiralik/daire/14084-2032,9,24
Başlık Bulunamadı,"125.000
TL",100 m²,1 + 1,Sıfır Bina,8. Kat,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/98015-2156,10,1
Başlık Bulunamadı,"42.000
TL",195 m²,4 + 1,5 Yaşında,4. Kat,https://www.hepsiemlak.com/ankara-golbasi-segmenler-kiralik/daire/159236-43,10,2
Başlık Bulunamadı,"30.000
TL",85 m²,2 + 1,6 Yaşında,2. Kat,https://www.hepsiemlak.com/istanbul-bahcelievler-zafer-kiralik/daire/140033-81,10,3
Başlık Bulunamadı,"17.500
TL",125 m²,3 + 1,20 Yaşında,1. Kat,https://www.hepsiemlak.com/ankara-sincan-aksemsettin-kiralik/daire/139916-3105,10,4
Başlık Bulunamadı,"40.000
TL",60 m²,1 + 1,5 Yaşında,2. Kat,https://www.hepsiemlak.com/istanbul-kagithane-hurriyet-kiralik/daire/95585-3774,10,5
Başlık Bulunamadı,"18.000
TL",135 m²,3 + 1,19 Yaşında,2. Kat,https://www.hepsiemlak.com/ankara-mamak-sahintepe-kiralik/daire/104775-5569,10,6
Başlık Bulunamadı,"16.000
TL",150 m²,3 + 1,4 Yaşında,2. Kat,https://www.hepsiemlak.com/hatay-defne-akdeniz-kiralik/daire/134061-550,10,7
Başlık Bulunamadı,"360.000
TL",60 m²,1 + 1,4 Yaşında,Teras Katı,https://www.hepsiemlak.com/izmir-cesme-boyalik-kiralik/residence/145761-259,10,8
Başlık Bulunamadı,"10.500
TL",75 m²,1 + 1,8 Yaşında,1. Kat,https://www.hepsiemlak.com/zonguldak-merkez-incivez-kiralik/daire/133058-333,10,9
Başlık Bulunamadı,"45.000
TL",110 m²,3 + 1,Sıfır Bina,6. Kat,https://www.hepsiemlak.com/istanbul-pendik-kaynarca-kiralik/daire/148967-14,10,10
Başlık Bulunamadı,"18.000
TL",110 m²,3 + 1,20 Yaşında,2. Kat,https://www.hepsiemlak.com/ankara-etimesgut-elvan-kiralik/daire/37640-11772,10,11
Başlık Bulunamadı,"60.000
TL",80 m²,1 + 1,8 Yaşında,1. Kat,https://www.hepsiemlak.com/istanbul-sariyer-huzur-kiralik/daire/33600-50046,10,12
Başlık Bulunamadı,"29.000
TL",100 m²,2 + 1,Sıfır Bina,Giriş Katı,https://www.hepsiemlak.com/gaziantep-sahinbey-ogretmenevleri-kiralik/daire/152847-91,10,13
Başlık Bulunamadı,"20.000
TL",135 m²,3 + 1,28 Yaşında,Ara Kat,https://www.hepsiemlak.com/bursa-nilufer-besevler-kiralik/daire/144327-60,10,14
Başlık Bulunamadı,"16.500
TL",175 m²,3 + 1,10 Yaşında,Ara Kat,https://www.hepsiemlak.com/gaziantep-sahinbey-bestepe-kiralik/daire/111308-444,10,15
Başlık Bulunamadı,"110.000
TL",550 m²,5 + 2,15 Yaşında,,https://www.hepsiemlak.com/izmir-guzelbahce-kahramandere-kiralik/villa/129369-109,10,16
Başlık Bulunamadı,"30.000
TL",138 m²,3 + 1,16 Yaşında,3. Kat,https://www.hepsiemlak.com/istanbul-cekmekoy-hamidiye-kiralik/daire/155904-8,10,17
Başlık Bulunamadı,"21.000
TL",95 m²,3 + 1,Sıfır Bina,1. Kat,https://www.hepsiemlak.com/antalya-dosemealti-yenikoy-kiralik/daire/156618-11,10,18
Başlık Bulunamadı,"32.500
TL",185 m²,3 + 1,1 Yaşında,2. Kat,https://www.hepsiemlak.com/konya-selcuklu-seker-kiralik/daire/126592-260,10,19
Başlık Bulunamadı,"85.000
TL",220 m²,4 + 1,9 Yaşında,3. Kat,https://www.hepsiemlak.com/ankara-cankaya-beytepe-kiralik/residence/88777-253,10,20
Başlık Bulunamadı,"30.000
TL",140 m²,3 + 1,15 Yaşında,Kot 1,https://www.hepsiemlak.com/ankara-cankaya-ovecler-kiralik/daire/5438-25275,10,21
Başlık Bulunamadı,"35.000
TL",150 m²,3 + 1,25 Yaşında,2. Kat,https://www.hepsiemlak.com/izmir-bornova-evka-3-kiralik/daire/90799-672,10,22
Başlık Bulunamadı,"60.000
TL",158 m²,3 + 1,7 Yaşında,3. Kat,https://www.hepsiemlak.com/istanbul-bagcilar-15-temmuz-kiralik/daire/115709-1176,10,23
Başlık Bulunamadı,"11.000
TL",50 m²,1 + 1,7 Yaşında,Ara Kat,https://www.hepsiemlak.com/denizli-pamukkale-topraklik-kiralik/daire/150941-334,10,24
