,Mevsimlik Ürünler Hariç TÜFE,TÜFE B,TÜFE C,TÜFE D,TÜFE F,Mallar,Enerji,Gıda ve alkolsüz içecekler,İşlenmemiş gıda,Taze meyve ve sebze,Diğer işlenmemiş gıda,İşlenmiş Gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Enerji ve gıda dışı mallar,Temel mallar,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,"Alkollü içecekler, tütün ve altın",Hizmet,Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler,TÜFE
2025-01-01,100.46498275833308,99.3736942962405,99.41847831086147,100.34720058820224,99.9283040365497,99.81793292323914,104.6054097808629,100.52750941318426,100.47685731178504,100.70222236867245,100.27829933918841,100.15675284866265,100.0,100.19249035943834,99.32963734068308,99.27810499640597,99.30607232026644,99.65086462246792,98.91041725638566,99.43836127712785,99.64753787284411,100.41186983016391,99.33140061576024,98.45847899443788,100.0,99.05964663561308,100.49931164285293
2025-01-02,100.58248108305663,99.51467450338338,99.5558878421702,100.47095777305574,100.04010827734,99.9245699749395,104.687436047526,100.60228648117342,100.61471702328761,100.66711864898889,100.56854855021678,100.4748341474944,100.28353424628507,100.51844791489444,99.46334939609555,99.42206588255662,99.44447155433129,99.72059404511704,99.12737988834876,99.5504361025816,99.77459531536067,100.525395110772,99.46476191254841,98.76487034365974,100.0,99.24700722221795,100.60295662580208
2025-01-03,100.70011682736593,99.65585471736857,99.69348729168743,100.5948675863903,100.15203760969848,100.03132094866231,104.76952663503482,100.67711917184667,101.4470338268798,102.04859009315112,100.91703244031467,100.4170523562743,100.27540287776051,100.44934650472487,99.59724144727002,99.56623552306195,99.58306367033721,99.79037226004108,99.3448184336178,99.66263724514616,99.90181476482736,100.63904874263336,99.59830225881511,99.07221514716848,100.0,99.43472218106827,100.70670849786634
2025-01-04,100.81789015197938,99.79723522194327,99.83127692190537,100.71893021644104,100.26409217358318,100.13818596611225,104.85168159382648,100.75200752657874,101.34485306772942,101.80551614638836,100.93898567989226,100.54911381096522,100.27867079303783,100.61077112915659,99.73131373650682,99.7106142206318,99.7218489370967,99.86019930138183,99.56273393612128,99.7749648471908,100.02919642781416,100.75283087086146,99.73202189495028,99.38051637200309,100.0,99.62279218242075,100.8105673692805
2025-01-05,100.93580121780334,99.93881630125722,99.96925699567896,100.84314585167529,100.37627210910871,100.24516514912399,104.9339009743777,100.82695158677518,101.25739666037255,101.58283814149644,100.97066631458031,100.55692924882234,100.27867079303783,100.62036838021211,99.86556650643244,99.855202278415,99.86082762379688,99.93007520330492,99.78112744207758,99.88741905124529,100.15674051115441,100.86674164073378,99.86592106166661,99.68977699443563,100.0,99.81121789779982,100.91453335039304
2025-01-06,101.05385018593236,100.08059823986326,100.10742777622647,100.9675146807928,100.48857755654645,100.3522586196624,105.01618482720478,100.90195139387232,101.36480668950011,101.8249727941585,100.95937716080294,100.56031574464936,100.27867079303783,100.62452695088271,100.0,99.99999999999997,100.00000000000004,99.99999999999996,100.0,100.0,100.2844472219452,100.98078119769208,100.0,100.0,100.0,100.0,101.01860655166622
2025-01-07,101.20788128167749,100.18911443337143,100.22754603209711,101.11032711634324,100.66091741870258,100.4686106526548,105.36488453353486,101.10538923393592,101.7421090542879,102.56182648093197,101.01989669100246,100.63542336932582,100.51821943446689,100.66214426735553,100.06831202063226,100.07606482713147,100.00540485115982,100.11973501776828,100.03825824060507,100.00138887167893,100.48072112691628,101.16077380166467,100.19629222870836,100.07313615470116,100.0,100.40361201145797,101.19273697629676
2025-01-08,101.20788128167749,100.18911443337143,100.22754603209711,101.11032711634324,100.66091741870258,100.4686106526548,105.36488453353486,101.10538923393592,102.62860890669876,104.24646926751377,101.20319239526303,100.69183989036866,100.52348999395346,100.73022136980305,100.06831202063226,100.07606482713147,100.00540485115982,100.11973501776828,100.03825824060507,100.00138887167893,100.48072112691628,101.16077380166467,100.19629222870836,100.07313615470116,100.0,100.40361201145797,101.19273697629676
2025-01-09,101.42028908775676,100.34570112830372,100.36776058203341,101.31344243250648,101.05338560358112,100.81287995006188,105.95447202968904,101.65181505067802,102.75147589489855,104.35849686116553,101.33560943632082,100.84015026043124,100.37209029510454,100.94686154636483,100.15869988995104,100.18558854837872,100.0133599181434,100.212261486463,100.17320763802412,100.00558020360651,100.665286025763,101.49802135578896,100.66434672674546,94.2279478514637,100.0,100.57869269476348,101.5005321069399
2025-01-10,101.51519687411222,100.46529835151635,100.50378193451152,101.42867206668186,101.14405726843756,100.81453369395936,106.04072480371468,101.65074210757456,102.65382400991285,104.22104320997173,101.27302491321106,100.91036268409982,100.37209029510454,101.03308144465895,100.17057269612714,100.19732466247874,100.01979456383856,100.22777008264188,100.18160837393332,100.006675930499,101.00662472657778,101.66089344101918,101.36169131244502,94.2279478514637,100.0,100.6374106530114,101.58810289412445
2025-01-11,101.61788333533552,100.57136220495573,100.62107774184831,101.52332847106422,101.22041610868617,100.88044165890918,106.06126457476483,101.66401932959464,102.5871691482615,103.99396183135994,101.3477138978434,100.98263814932204,100.37209029510454,101.12183472983291,100.27821006841847,100.30227730797101,100.01881054725436,100.46329202592496,100.1647869699286,100.01018029801438,101.15812004936188,101.82333346598378,101.4601906398768,96.28264206395156,99.99999999999996,100.7542795632438,101.66218647662004
2025-01-12,101.66303348606542,100.61543128635851,100.67073166179694,101.5607186811104,101.25975797602372,100.9060736615198,106.08483562074824,101.68759270680204,102.60573689002821,103.94957153674918,101.42175084248667,101.00990620935954,100.37111312828664,101.15554231621857,100.29953758877856,100.33080664695959,100.01778012286974,100.48443467297524,100.20315751506384,100.0076920246798,101.24033875025714,101.98005090253984,101.45981757214328,96.28264206395156,100.0,100.99441609245756,101.69716262192136
2025-01-13,101.7298420313254,100.68357848687315,100.71194175517243,101.62172106034409,101.29677711493484,100.9344472926924,106.11396210206551,101.6966547722435,102.42524533091195,103.4728071784948,101.5022905503507,101.15887868783943,100.37111312828664,101.33847848722704,100.3055080193801,100.33994087580432,100.01700587666342,100.48963486037356,100.2170487433249,100.02080716414336,101.333544383263,102.1342815732451,101.46038753981954,97.65261662830538,100.0,101.10710118022055,101.7259324208228
