,Ürün,Grup,Ağırlık,Group_Number,Ana Grup
277,Turşu,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.00036389151321327567,26,Gıda ve alkolsüz içecekler
278,Tuvalet Kağıdı,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.002717831408509079,135,Çeşitli mal ve hizmetler
279,Tuvalet ve Güzellik Sabunu,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0014244022304762322,135,Çeşitli mal ve hizmetler
280,Tuz,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.0004437684797876394,31,Gıda ve alkolsüz içecekler
281,Tül,Ev tekstili,0.0005793197104839626,64,Ev eşyası
282,Tüp Gaz Ücreti,Tüpgaz (ev tüpü),0.005466397540619286,58,Konut
283,Tıraş Malzemeleri,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",0.0006183880855018958,135,Çeşitli mal ve hizmetler
284,Uçak Bileti Ücreti,Havayolu ile yolcu taşımacılığı,0.0022480640532974803,102,Ulaştırma
285,Vapur Bilet Ücreti ,Deniz ve yurt içi su yolu ile yolcu taşımacılığı,0.00041633012204891456,103,Ulaştırma
286,Veteriner Ücreti,Evcil hayvanlarla ilgili veterinerlik ve diğer hizmetler,0.0003365549399541654,115,Eğlence ve kültür
287,Yastık,Ev tekstili,0.0002793209559777883,64,Ev eşyası
288,Yatak (Tek Kişilik),Yatak odası mobilyaları,0.0005911572931566827,61,Ev eşyası
289,Yatak (Çift Kişilik),Yatak odası mobilyaları,0.001164687603392237,61,Ev eşyası
290,Yatak Bazası,Yatak odası mobilyaları,0.0011112957377613733,61,Ev eşyası
291,Yatak Odası Takımı,Yatak odası mobilyaları,0.0035887951613842234,61,Ev eşyası
292,Yatak Örtüsü,Ev tekstili,0.00046077529934663723,64,Ev eşyası
293,Yemek Odası Takımı,Yemek odası ve oturma odası mobilyaları,0.0016730647709783883,62,Ev eşyası
294,Yer Fıstığı,Kuru meyve ve sert kabuklu yemişler,0.0010771000474505002,22,Gıda ve alkolsüz içecekler
295,Yer ve Duvar Döşemesi,Konutun bakım ve onarımı için malzemeler,0.0025408606710710466,54,Konut
296,Yorgan,Ev tekstili,0.00029927466500360165,64,Ev eşyası
297,Yoğurt,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",0.005525173722022889,15,Gıda ve alkolsüz içecekler
298,Yumurta,Yumurta,0.007958640232240674,17,Gıda ve alkolsüz içecekler
299,Zeytin,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.004868601751532274,26,Gıda ve alkolsüz içecekler
300,Zeytinyağı,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",0.004824960903343791,20,Gıda ve alkolsüz içecekler
301,Çamaşır Makinesi,Çamaşır ve bulaşık makineleri,0.0059415588091800055,66,Ev eşyası
302,Çamaşır İçin Temizlik ve Bakım Ürünleri,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",0.008638230589838878,77,Ev eşyası
303,Çanta (Kadın İçin),Seyahat malzemeleri ve diğer kişisel aksesuarlar,0.001194253122599892,137,Çeşitli mal ve hizmetler
304,Çarliston Biber,Taze sebzeler (patates hariç),0.0007384917715723535,23,Gıda ve alkolsüz içecekler
305,Çay,Çay ve bitki çayları,0.00705845120300702,33,Gıda ve alkolsüz içecekler
306,Çelik Mutfak Eşyaları,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",0.0014696074538479457,74,Ev eşyası
307,Çikolata Krem,Çikolata ve şekerlemeler,0.0020576324805446837,29,Gıda ve alkolsüz içecekler
308,Çikolata Tablet,Çikolata ve şekerlemeler,0.003418020433294094,29,Gıda ve alkolsüz içecekler
309,Çilek,Taze meyveler,0.0010258736627020528,21,Gıda ve alkolsüz içecekler
310,Çiğ Köfte,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.004271653221702947,128,Lokanta ve oteller
311,Çocuk Kitapları,Kitaplar,0.00037857543148945726,120,Eğlence ve kültür
312,Çorap (Erkek için),Erkek giyim,0.0007781497205432696,43,Giyim ve ayakkabı
313,Çorap (Kadın için),Kadın giyim,0.0010105420238254845,44,Giyim ve ayakkabı
314,Çorap (Çocuk için),Çocuk giyim,0.0006609376925918207,45,Giyim ve ayakkabı
315,Çorbalar,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",0.0035400192418211266,128,Lokanta ve oteller
316,Örgü Yünü,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",0.0007754878639014826,47,Giyim ve ayakkabı
317,Özel Lise Ücreti,Orta öğretim,0.009443988125795933,125,Eğitim
318,Özel Üniversite Ücreti,Üniversite eğitimi,0.008331183086985588,126,Eğitim
319,Özel İlköğretim Ücreti,Okul öncesi eğitim ve ilköğretim,0.006186696312144879,124,Eğitim
320,Ütü,Elektrikli küçük ev aletleri,0.0005192538331052003,70,Ev eşyası
321,Üzüm,Taze meyveler,0.0019272061523780016,21,Gıda ve alkolsüz içecekler
322,İnternet Ücreti,Telefon (mobil ve sabit hat) ve internet ücretleri,0.005645133099875774,107,Haberleşme
323,İç Çamaşırı (Erkek için),Erkek giyim,0.0011560130354532519,43,Giyim ve ayakkabı
324,İç Çamaşırı (Kadın için),Kadın giyim,0.0023394794137525667,44,Giyim ve ayakkabı
325,İç çamaşırı (Çocuk için),Çocuk giyim,0.0005132722236684916,45,Giyim ve ayakkabı
326,Şeftali,Taze meyveler,0.0010121400476794146,21,Gıda ve alkolsüz içecekler
327,Şehirlerarası Otobüs Ücreti ,Karayolu ile şehirler arası yolcu taşımacılığı,0.004930287739333559,101,Ulaştırma
328,Şehriye,Makarna çeşitleri,0.0004182987207367658,5,Gıda ve alkolsüz içecekler
329,Şemsiye,Başka yerde sınıflandırılmamış diğer kişisel aksesuarlar,0.0003037438219988857,138,Çeşitli mal ve hizmetler
