isim,fiyat,versiyon,enerji_turu,sistem_gucu,tork,0_100,vites,silindir_hacmi,tuketim,menzil,hiz,bagaj,agirlik,boyut_uzunluk,boyut_genislik,boyut_yukseklik,url
2025 Alfa Romeo Junior 1.2 Ibrida Speciale,2.079.000 TL,1.2 Ibrida Speciale,Hafif Hibrit,121 HP,230 Nm,8.9 sn,Otomatik,1199 cc,5.2 lt,962 km,206 km/s,415 lt,1305 Kg,4173 mm,1781 mm,1539 mm,https://www.arabalar.com.tr/alfa-romeo/junior/2025/1-2-ibrida-speciale
2025 Alfa Romeo Junior Elettrica Speciale,1.919.000 TL,Elettrica Speciale,Elektrik,156 HP,260 Nm,9.0 sn,Otomatik,,,398 km,150 km/s,400 lt,1545 Kg,4173 mm,1781 mm,1532 mm,https://www.arabalar.com.tr/alfa-romeo/junior/2025/elettrica-speciale
