iter	RMSE
0	0.269148318
1	0.267853768
2	0.2672097839
3	0.2668045468
4	0.2652944987
5	0.2643886731
6	0.2629702613
7	0.2623603912
8	0.2612574119
9	0.2596763109
10	0.2587387649
11	0.2574097321
12	0.2564863874
13	0.2554218825
14	0.254568943
15	0.2534541264
16	0.2526777637
17	0.2516996207
18	0.250386419
19	0.2495365116
20	0.2481178668
21	0.2470017609
22	0.2461965475
23	0.2453518013
24	0.244470742
25	0.2435814575
26	0.2427661201
27	0.2415684534
28	0.240523974
29	0.2393376755
30	0.2385674438
31	0.2377057657
32	0.237396961
33	0.2363420624
34	0.2351157305
35	0.2343328427
36	0.233391802
37	0.2325759586
38	0.231574351
39	0.2309291534
40	0.2301031998
41	0.2289172457
42	0.2279377977
43	0.2270561937
44	0.226210597
45	0.2255855491
46	0.2246286277
47	0.2239417583
48	0.2230116974
49	0.2220089393
50	0.2210884607
51	0.2201267278
52	0.2200971921
53	0.2192029325
54	0.2184961071
55	0.2179275859
56	0.216986187
57	0.2162916111
58	0.2154196958
59	0.2148057151
60	0.2143812802
61	0.2139639045
62	0.2129033364
63	0.2120946382
64	0.2113559277
65	0.2108818753
66	0.2100543458
67	0.2096718759
68	0.2088083126
69	0.2081647691
70	0.2073822036
71	0.2067978205
72	0.2063502375
73	0.2059476756
74	0.2050053356
75	0.204145405
76	0.2037841441
77	0.2031198992
78	0.2024716628
79	0.2019735947
80	0.2015448729
81	0.2007331304
82	0.2003182813
83	0.1997226035
84	0.1990304381
85	0.1985296653
86	0.1977100582
87	0.1970071858
88	0.1965019935
89	0.1960115439
90	0.195380556
91	0.1947493545
92	0.1943880328
93	0.1939716361
94	0.193465329
95	0.1931366131
96	0.1925009245
97	0.191998067
98	0.191301725
99	0.1909674355
100	0.1904407448
101	0.1898080511
102	0.1894346092
103	0.1888520341
104	0.18838561
105	0.187929939
106	0.1875892293
107	0.1871320757
108	0.1866521079
109	0.1861299748
110	0.185594903
111	0.185244036
112	0.1848158309
113	0.1843009857
114	0.1838722845
115	0.1835624063
116	0.1829335446
117	0.1823807222
118	0.1821078482
119	0.1817836556
120	0.1814187242
121	0.1811496216
122	0.1808071862
123	0.1805259588
124	0.1801136478
125	0.1797935006
126	0.1793915886
127	0.1789129089
128	0.1787865543
129	0.1784384776
130	0.1781925842
131	0.1780835332
132	0.1776981974
133	0.1773494478
134	0.1770802951
135	0.1765888016
136	0.1763631271
137	0.1759133933
138	0.1757290368
